C0002395,ALZHEIMER DISEASE (Alzheimer's Disease),Disease or Syndrome,C0234387,Cerebral Disease (Cerebral disorder),Disease or Syndrome,  Alzheimer disease is a primary degenerative cerebral disease of unknown etiology with characteristic neuropathological and neurochemical features.
C1270972,"Cognitive impairment, mild (Mild cognitive disorder)",Mental or Behavioral Dysfunction,C0236865,Relational problem NOS,Mental or Behavioral Dysfunction,"A related problem, mild cognitive impairment (MCI), causes more memory problems than normal for people of the same age."
C0233794,memory problems (Memory impairment),Mental or Behavioral Dysfunction,C0236865,Relational problem NOS,Mental or Behavioral Dysfunction,"A related problem, mild cognitive impairment (MCI), causes more memory problems than normal for people of the same age."
N C1270972,MCI (Mild cognitive disorder),Mental or Behavioral Dysfunction,N C1843013,"AD (Alzheimer disease, familial, type 3)",Disease or Syndrome,"Many, but not all, people with MCI will develop AD."
C1843013,"AD (Alzheimer disease, familial, type 3)",Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"In AD, over time, symptoms get worse."
C1843013,"AD (Alzheimer disease, familial, type 3)",Disease or Syndrome,C0040223,TIME (Time) [Temporal Concept],Temporal Concept,"In AD, over time, symptoms get worse."
C1843013,"AD (Alzheimer disease, familial, type 3)",Disease or Syndrome,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,"In AD, over time, symptoms get worse."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0040223,TIME (Time) [Temporal Concept],Temporal Concept,"In AD, over time, symptoms get worse."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,"In AD, over time, symptoms get worse."
C0040223,TIME (Time) [Temporal Concept],Temporal Concept,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,"In AD, over time, symptoms get worse."
C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,C0580822,Aggressive (Aggressive course) [Temporal Concept],Temporal Concept,"Later on, they may become anxious or aggressive, or wander away from home."
C0003467,Anxious (Anxiety),Mental or Behavioral Dysfunction,C0205087,Later (Late) [Temporal Concept],Temporal Concept,"Later on, they may become anxious or aggressive, or wander away from home."
C0580822,Aggressive (Aggressive course) [Temporal Concept],Temporal Concept,C0205087,Later (Late) [Temporal Concept],Temporal Concept,"Later on, they may become anxious or aggressive, or wander away from home."
C1843013,"AD (Alzheimer disease, familial, type 3)",Disease or Syndrome,C0439659,Begin (Beginning) [Temporal Concept],Temporal Concept,AD usually begins after age 60.
N C0012634,Disease,Disease or Syndrome,C2746065,Stop (Stop (qualifier value)) [Temporal Concept],Temporal Concept,No treatment can stop the disease.
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0332186,Limited time (Definite time) [Temporal Concept],Temporal Concept,"However, some drugs may help keep symptoms from getting worse for a limited time."
C0439659,Start (Beginning) [Temporal Concept],Temporal Concept,C0040223,TIME (Time) [Temporal Concept],Temporal Concept,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C0439659,Start (Beginning) [Temporal Concept],Temporal Concept,C0026062,MIDDLE AGE (Middle Age) [Temporal Concept],Temporal Concept,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C0439659,Start (Beginning) [Temporal Concept],Temporal Concept,C0205087,Late [Temporal Concept],Temporal Concept,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C0439659,Start (Beginning) [Temporal Concept],Temporal Concept,C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C0439659,Start (Beginning) [Temporal Concept],Temporal Concept,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C0040223,TIME (Time) [Temporal Concept],Temporal Concept,C0026062,MIDDLE AGE (Middle Age) [Temporal Concept],Temporal Concept,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C0040223,TIME (Time) [Temporal Concept],Temporal Concept,C0205087,Late [Temporal Concept],Temporal Concept,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C0040223,TIME (Time) [Temporal Concept],Temporal Concept,C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C0040223,TIME (Time) [Temporal Concept],Temporal Concept,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C0026062,MIDDLE AGE (Middle Age) [Temporal Concept],Temporal Concept,C0205087,Late [Temporal Concept],Temporal Concept,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C0026062,MIDDLE AGE (Middle Age) [Temporal Concept],Temporal Concept,C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C0026062,MIDDLE AGE (Middle Age) [Temporal Concept],Temporal Concept,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C0205087,Late [Temporal Concept],Temporal Concept,C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C0205087,Late [Temporal Concept],Temporal Concept,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,C3541383,Time (Time (foundation metadata concept)) [Temporal Concept],Temporal Concept,NIH: National Institute on AgingA brain disorder that usually starts in late middle age or old age and gets worse over time.
C1335499,PROGRESSIVE DISEASE (Progressive Disease),Disease or Syndrome,C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1335499,PROGRESSIVE DISEASE (Progressive Disease),Disease or Syndrome,C0751295,LOSS OF MEMORY (Memory Loss),Sign or Symptom,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1335499,PROGRESSIVE DISEASE (Progressive Disease),Disease or Syndrome,C3539781,Progressive Disease (Progressive cGVHD),Disease or Syndrome,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1335499,PROGRESSIVE DISEASE (Progressive Disease),Disease or Syndrome,C0003944,personality (As If Personality),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1335499,PROGRESSIVE DISEASE (Progressive Disease),Disease or Syndrome,C0332152,Leading (Before) [Temporal Concept],Temporal Concept,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1335499,PROGRESSIVE DISEASE (Progressive Disease),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1335499,PROGRESSIVE DISEASE (Progressive Disease),Disease or Syndrome,C1298634,Insidious onset [Temporal Concept],Temporal Concept,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1335499,PROGRESSIVE DISEASE (Progressive Disease),Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1335499,PROGRESSIVE DISEASE (Progressive Disease),Disease or Syndrome,C0154671,brain degenerative Disease (Degenerative brain disorder),Disease or Syndrome,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1335499,PROGRESSIVE DISEASE (Progressive Disease),Disease or Syndrome,C0677932,progressive disease (Progressive Neoplastic Disease),Neoplastic Process,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1335499,PROGRESSIVE DISEASE (Progressive Disease),Disease or Syndrome,C0002622,Loss Of Memory (Amnesia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C1335499,PROGRESSIVE DISEASE (Progressive Disease),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C0751295,LOSS OF MEMORY (Memory Loss),Sign or Symptom,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C3539781,Progressive Disease (Progressive cGVHD),Disease or Syndrome,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C0003944,personality (As If Personality),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C0332152,Leading (Before) [Temporal Concept],Temporal Concept,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C1298634,Insidious onset [Temporal Concept],Temporal Concept,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C0154671,brain degenerative Disease (Degenerative brain disorder),Disease or Syndrome,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C0677932,progressive disease (Progressive Neoplastic Disease),Neoplastic Process,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C0002622,Loss Of Memory (Amnesia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0751295,LOSS OF MEMORY (Memory Loss),Sign or Symptom,C3539781,Progressive Disease (Progressive cGVHD),Disease or Syndrome,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0751295,LOSS OF MEMORY (Memory Loss),Sign or Symptom,C0003944,personality (As If Personality),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0751295,LOSS OF MEMORY (Memory Loss),Sign or Symptom,C0332152,Leading (Before) [Temporal Concept],Temporal Concept,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0751295,LOSS OF MEMORY (Memory Loss),Sign or Symptom,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0751295,LOSS OF MEMORY (Memory Loss),Sign or Symptom,C1298634,Insidious onset [Temporal Concept],Temporal Concept,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0751295,LOSS OF MEMORY (Memory Loss),Sign or Symptom,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0751295,LOSS OF MEMORY (Memory Loss),Sign or Symptom,C0154671,brain degenerative Disease (Degenerative brain disorder),Disease or Syndrome,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0751295,LOSS OF MEMORY (Memory Loss),Sign or Symptom,C0677932,progressive disease (Progressive Neoplastic Disease),Neoplastic Process,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0751295,LOSS OF MEMORY (Memory Loss),Sign or Symptom,C0002622,Loss Of Memory (Amnesia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0751295,LOSS OF MEMORY (Memory Loss),Sign or Symptom,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C3539781,Progressive Disease (Progressive cGVHD),Disease or Syndrome,C0003944,personality (As If Personality),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C3539781,Progressive Disease (Progressive cGVHD),Disease or Syndrome,C0332152,Leading (Before) [Temporal Concept],Temporal Concept,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C3539781,Progressive Disease (Progressive cGVHD),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C3539781,Progressive Disease (Progressive cGVHD),Disease or Syndrome,C1298634,Insidious onset [Temporal Concept],Temporal Concept,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C3539781,Progressive Disease (Progressive cGVHD),Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C3539781,Progressive Disease (Progressive cGVHD),Disease or Syndrome,C0154671,brain degenerative Disease (Degenerative brain disorder),Disease or Syndrome,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C3539781,Progressive Disease (Progressive cGVHD),Disease or Syndrome,C0677932,progressive disease (Progressive Neoplastic Disease),Neoplastic Process,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C3539781,Progressive Disease (Progressive cGVHD),Disease or Syndrome,C0002622,Loss Of Memory (Amnesia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C3539781,Progressive Disease (Progressive cGVHD),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0003944,personality (As If Personality),Mental or Behavioral Dysfunction,C0332152,Leading (Before) [Temporal Concept],Temporal Concept,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
C0003944,personality (As If Personality),Mental or Behavioral Dysfunction,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Symptoms include loss of memory, confusion, difficulty thinking, and changes in language, behavior, and personality.A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language.A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA."
