C0332239,Young [Temporal Concept],Temporal Concept,C0580836,Old [Temporal Concept],Temporal Concept,"It occurs most commonly inadolescent girls and young women, but adolescent boys andyoung men may also be affected, as may children approachingpuberty and older women up to the menopause."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0012634,Disorder (Disease),Disease or Syndrome,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.The forcible expulsion of the contents of the STOMACH through the MOUTH.A disorder characterized by the reflexive act of ejecting the contents of the stomach through the mouth.Forceful ejection of the contents of the stomach through the mouth.Expulsion of the contents of the stomach through the mouth.To eject some or all of the contents of the stomach through the mouth.A disorder most often seen in adolescent females characterized by a refusal to maintain a minimally normal body weight, an intense fear of gaining weight, a disturbance in body image, and, in postmenarcheal females, the development of amenorrhea.An eating disorder marked by an intense fear of gaining weight, a refusal to maintain a healthy weight, and a distorted body image."
C0012634,Disorder (Disease),Disease or Syndrome,C0558116,Body image disturbance (Distorted body image),Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.The forcible expulsion of the contents of the STOMACH through the MOUTH.A disorder characterized by the reflexive act of ejecting the contents of the stomach through the mouth.Forceful ejection of the contents of the stomach through the mouth.Expulsion of the contents of the stomach through the mouth.To eject some or all of the contents of the stomach through the mouth.A disorder most often seen in adolescent females characterized by a refusal to maintain a minimally normal body weight, an intense fear of gaining weight, a disturbance in body image, and, in postmenarcheal females, the development of amenorrhea.An eating disorder marked by an intense fear of gaining weight, a refusal to maintain a healthy weight, and a distorted body image."
C0012634,Disorder (Disease),Disease or Syndrome,C0558116,Distorted body image,Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.The forcible expulsion of the contents of the STOMACH through the MOUTH.A disorder characterized by the reflexive act of ejecting the contents of the stomach through the mouth.Forceful ejection of the contents of the stomach through the mouth.Expulsion of the contents of the stomach through the mouth.To eject some or all of the contents of the stomach through the mouth.A disorder most often seen in adolescent females characterized by a refusal to maintain a minimally normal body weight, an intense fear of gaining weight, a disturbance in body image, and, in postmenarcheal females, the development of amenorrhea.An eating disorder marked by an intense fear of gaining weight, a refusal to maintain a healthy weight, and a distorted body image."
C0012634,Disorder (Disease),Disease or Syndrome,C0013473,EATING DISORDER (Eating Disorders),Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.The forcible expulsion of the contents of the STOMACH through the MOUTH.A disorder characterized by the reflexive act of ejecting the contents of the stomach through the mouth.Forceful ejection of the contents of the stomach through the mouth.Expulsion of the contents of the stomach through the mouth.To eject some or all of the contents of the stomach through the mouth.A disorder most often seen in adolescent females characterized by a refusal to maintain a minimally normal body weight, an intense fear of gaining weight, a disturbance in body image, and, in postmenarcheal females, the development of amenorrhea.An eating disorder marked by an intense fear of gaining weight, a refusal to maintain a healthy weight, and a distorted body image."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0558116,Body image disturbance (Distorted body image),Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.The forcible expulsion of the contents of the STOMACH through the MOUTH.A disorder characterized by the reflexive act of ejecting the contents of the stomach through the mouth.Forceful ejection of the contents of the stomach through the mouth.Expulsion of the contents of the stomach through the mouth.To eject some or all of the contents of the stomach through the mouth.A disorder most often seen in adolescent females characterized by a refusal to maintain a minimally normal body weight, an intense fear of gaining weight, a disturbance in body image, and, in postmenarcheal females, the development of amenorrhea.An eating disorder marked by an intense fear of gaining weight, a refusal to maintain a healthy weight, and a distorted body image."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0558116,Distorted body image,Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.The forcible expulsion of the contents of the STOMACH through the MOUTH.A disorder characterized by the reflexive act of ejecting the contents of the stomach through the mouth.Forceful ejection of the contents of the stomach through the mouth.Expulsion of the contents of the stomach through the mouth.To eject some or all of the contents of the stomach through the mouth.A disorder most often seen in adolescent females characterized by a refusal to maintain a minimally normal body weight, an intense fear of gaining weight, a disturbance in body image, and, in postmenarcheal females, the development of amenorrhea.An eating disorder marked by an intense fear of gaining weight, a refusal to maintain a healthy weight, and a distorted body image."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0013473,EATING DISORDER (Eating Disorders),Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.The forcible expulsion of the contents of the STOMACH through the MOUTH.A disorder characterized by the reflexive act of ejecting the contents of the stomach through the mouth.Forceful ejection of the contents of the stomach through the mouth.Expulsion of the contents of the stomach through the mouth.To eject some or all of the contents of the stomach through the mouth.A disorder most often seen in adolescent females characterized by a refusal to maintain a minimally normal body weight, an intense fear of gaining weight, a disturbance in body image, and, in postmenarcheal females, the development of amenorrhea.An eating disorder marked by an intense fear of gaining weight, a refusal to maintain a healthy weight, and a distorted body image."
C0558116,Body image disturbance (Distorted body image),Mental or Behavioral Dysfunction,C0558116,Distorted body image,Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.The forcible expulsion of the contents of the STOMACH through the MOUTH.A disorder characterized by the reflexive act of ejecting the contents of the stomach through the mouth.Forceful ejection of the contents of the stomach through the mouth.Expulsion of the contents of the stomach through the mouth.To eject some or all of the contents of the stomach through the mouth.A disorder most often seen in adolescent females characterized by a refusal to maintain a minimally normal body weight, an intense fear of gaining weight, a disturbance in body image, and, in postmenarcheal females, the development of amenorrhea.An eating disorder marked by an intense fear of gaining weight, a refusal to maintain a healthy weight, and a distorted body image."
C0558116,Body image disturbance (Distorted body image),Mental or Behavioral Dysfunction,C0013473,EATING DISORDER (Eating Disorders),Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.The forcible expulsion of the contents of the STOMACH through the MOUTH.A disorder characterized by the reflexive act of ejecting the contents of the stomach through the mouth.Forceful ejection of the contents of the stomach through the mouth.Expulsion of the contents of the stomach through the mouth.To eject some or all of the contents of the stomach through the mouth.A disorder most often seen in adolescent females characterized by a refusal to maintain a minimally normal body weight, an intense fear of gaining weight, a disturbance in body image, and, in postmenarcheal females, the development of amenorrhea.An eating disorder marked by an intense fear of gaining weight, a refusal to maintain a healthy weight, and a distorted body image."
C0558116,Distorted body image,Mental or Behavioral Dysfunction,C0013473,EATING DISORDER (Eating Disorders),Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.The forcible expulsion of the contents of the STOMACH through the MOUTH.A disorder characterized by the reflexive act of ejecting the contents of the stomach through the mouth.Forceful ejection of the contents of the stomach through the mouth.Expulsion of the contents of the stomach through the mouth.To eject some or all of the contents of the stomach through the mouth.A disorder most often seen in adolescent females characterized by a refusal to maintain a minimally normal body weight, an intense fear of gaining weight, a disturbance in body image, and, in postmenarcheal females, the development of amenorrhea.An eating disorder marked by an intense fear of gaining weight, a refusal to maintain a healthy weight, and a distorted body image."
C0003125,ANOREXIA NERVOSA (Anorexia Nervosa),Mental or Behavioral Dysfunction,C0013473,EATING DISORDER (Eating Disorders),Mental or Behavioral Dysfunction,"People with anorexia nervosa have an abnormal loss of appetite for food, try to avoid eating, and eat as little as possible.An eating disorder that is characterized by the lack or loss of APPETITE, known as ANOREXIA."
C0003125,ANOREXIA NERVOSA (Anorexia Nervosa),Mental or Behavioral Dysfunction,C0003123,Loss of appetite (Anorexia),Disease or Syndrome,"People with anorexia nervosa have an abnormal loss of appetite for food, try to avoid eating, and eat as little as possible.An eating disorder that is characterized by the lack or loss of APPETITE, known as ANOREXIA."
C0003125,ANOREXIA NERVOSA (Anorexia Nervosa),Mental or Behavioral Dysfunction,C0003123,ANOREXIA (Anorexia),Disease or Syndrome,"People with anorexia nervosa have an abnormal loss of appetite for food, try to avoid eating, and eat as little as possible.An eating disorder that is characterized by the lack or loss of APPETITE, known as ANOREXIA."
C0013473,EATING DISORDER (Eating Disorders),Mental or Behavioral Dysfunction,C0003123,Loss of appetite (Anorexia),Disease or Syndrome,"People with anorexia nervosa have an abnormal loss of appetite for food, try to avoid eating, and eat as little as possible.An eating disorder that is characterized by the lack or loss of APPETITE, known as ANOREXIA."
C0013473,EATING DISORDER (Eating Disorders),Mental or Behavioral Dysfunction,C0003123,ANOREXIA (Anorexia),Disease or Syndrome,"People with anorexia nervosa have an abnormal loss of appetite for food, try to avoid eating, and eat as little as possible.An eating disorder that is characterized by the lack or loss of APPETITE, known as ANOREXIA."
C0003123,Loss of appetite (Anorexia),Disease or Syndrome,C0003123,ANOREXIA (Anorexia),Disease or Syndrome,"People with anorexia nervosa have an abnormal loss of appetite for food, try to avoid eating, and eat as little as possible.An eating disorder that is characterized by the lack or loss of APPETITE, known as ANOREXIA."
C0012634,Disorder (Disease),Disease or Syndrome,C0332183,Frequently [Temporal Concept],Temporal Concept,This disorder occurs most frequently in adolescent females.
C0012634,Disorder (Disease),Disease or Syndrome,C2745955,OCCUR (Occurrence) [Temporal Concept],Temporal Concept,This disorder occurs most frequently in adolescent females.
C0332183,Frequently [Temporal Concept],Temporal Concept,C2745955,OCCUR (Occurrence) [Temporal Concept],Temporal Concept,This disorder occurs most frequently in adolescent females.
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C1306597,PSYCHOLOGICAL (Psychiatric problem),Mental or Behavioral Dysfunction,"(APA, Thesaurus of Psychological Index Terms, 1994)"
C0003123,ANOREXIA (Anorexia),Disease or Syndrome,C0012634,Disorders (Disease),Disease or Syndrome,Disorders that fulfil some of the features of anorexia nervosabut in which the overall clinical picture does not justifythat diagnosis.
N C0012634,Disorders (Disease),Disease or Syndrome,C1512900,Interruption [Temporal Concept],Temporal Concept,"For instance, one of the key symptoms, such asamenorrhoea or marked dread of being fat, may be absent in thepresence of marked weight loss and weight-reducing behaviour.This diagnosis should not be made in the presence of knownphysical disorders associated with weight loss.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
N C0012634,Disorders (Disease),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"For instance, one of the key symptoms, such asamenorrhoea or marked dread of being fat, may be absent in thepresence of marked weight loss and weight-reducing behaviour.This diagnosis should not be made in the presence of knownphysical disorders associated with weight loss.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1512900,Interruption [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"For instance, one of the key symptoms, such asamenorrhoea or marked dread of being fat, may be absent in thepresence of marked weight loss and weight-reducing behaviour.This diagnosis should not be made in the presence of knownphysical disorders associated with weight loss.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C2364135,DISCOMFORT (Discomfort),Sign or Symptom,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1512900,Interruption [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C2364135,DISCOMFORT (Discomfort),Sign or Symptom,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0012634,Disorder (Disease),Disease or Syndrome,C0003123,Loss of appetite (Anorexia),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0012634,Disorder (Disease),Disease or Syndrome,C0003125,ANOREXIA NERVOSA (Anorexia Nervosa),Mental or Behavioral Dysfunction,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0012634,Disorder (Disease),Disease or Syndrome,C0012634,Diseases (Disease),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0012634,Disorder (Disease),Disease or Syndrome,C0004936,Mental Disorder (Mental disorders),Mental or Behavioral Dysfunction,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0012634,Disorder (Disease),Disease or Syndrome,C0003123,ANOREXIA (Anorexia),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0012634,Disorder (Disease),Disease or Syndrome,C0001175,AIDS (Acquired Immunodeficiency Syndrome),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0012634,Disorder (Disease),Disease or Syndrome,C0033975,mental disorder (Psychotic Disorders),Mental or Behavioral Dysfunction,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0003123,Loss of appetite (Anorexia),Disease or Syndrome,C0003125,ANOREXIA NERVOSA (Anorexia Nervosa),Mental or Behavioral Dysfunction,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0003123,Loss of appetite (Anorexia),Disease or Syndrome,C0012634,Diseases (Disease),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0003123,Loss of appetite (Anorexia),Disease or Syndrome,C0004936,Mental Disorder (Mental disorders),Mental or Behavioral Dysfunction,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0003123,Loss of appetite (Anorexia),Disease or Syndrome,C0003123,ANOREXIA (Anorexia),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0003123,Loss of appetite (Anorexia),Disease or Syndrome,C0001175,AIDS (Acquired Immunodeficiency Syndrome),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0003123,Loss of appetite (Anorexia),Disease or Syndrome,C0033975,mental disorder (Psychotic Disorders),Mental or Behavioral Dysfunction,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0003125,ANOREXIA NERVOSA (Anorexia Nervosa),Mental or Behavioral Dysfunction,C0012634,Diseases (Disease),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0003125,ANOREXIA NERVOSA (Anorexia Nervosa),Mental or Behavioral Dysfunction,C0004936,Mental Disorder (Mental disorders),Mental or Behavioral Dysfunction,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0003125,ANOREXIA NERVOSA (Anorexia Nervosa),Mental or Behavioral Dysfunction,C0003123,ANOREXIA (Anorexia),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0003125,ANOREXIA NERVOSA (Anorexia Nervosa),Mental or Behavioral Dysfunction,C0001175,AIDS (Acquired Immunodeficiency Syndrome),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0003125,ANOREXIA NERVOSA (Anorexia Nervosa),Mental or Behavioral Dysfunction,C0033975,mental disorder (Psychotic Disorders),Mental or Behavioral Dysfunction,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0012634,Diseases (Disease),Disease or Syndrome,C0004936,Mental Disorder (Mental disorders),Mental or Behavioral Dysfunction,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0012634,Diseases (Disease),Disease or Syndrome,C0003123,ANOREXIA (Anorexia),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0012634,Diseases (Disease),Disease or Syndrome,C0001175,AIDS (Acquired Immunodeficiency Syndrome),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0012634,Diseases (Disease),Disease or Syndrome,C0033975,mental disorder (Psychotic Disorders),Mental or Behavioral Dysfunction,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
C0004936,Mental Disorder (Mental disorders),Mental or Behavioral Dysfunction,C0003123,ANOREXIA (Anorexia),Disease or Syndrome,"Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.A disorder characterized by a loss of appetite.The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat."
