C0024517,"major depressive episode (Major depression, single episode)",Mental or Behavioral Dysfunction,C0302847,"AFFECTIVE DISORDER, MAJOR (major affective disorder)",Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0024517,"major depressive episode (Major depression, single episode)",Mental or Behavioral Dysfunction,C0424295,HYPERACTIVITY (Hyperactive behavior),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0024517,"major depressive episode (Major depression, single episode)",Mental or Behavioral Dysfunction,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0024517,"major depressive episode (Major depression, single episode)",Mental or Behavioral Dysfunction,C0338831,Manic,Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0024517,"major depressive episode (Major depression, single episode)",Mental or Behavioral Dysfunction,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0024517,"major depressive episode (Major depression, single episode)",Mental or Behavioral Dysfunction,C0004936,Psychotic NOS (Mental disorders),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0024517,"major depressive episode (Major depression, single episode)",Mental or Behavioral Dysfunction,C0687702,remission (Cancer Remission),Neoplastic Process,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0024517,"major depressive episode (Major depression, single episode)",Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0024517,"major depressive episode (Major depression, single episode)",Mental or Behavioral Dysfunction,C0439531,/period (per period (qualifier value)) [Temporal Concept],Temporal Concept,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0024517,"major depressive episode (Major depression, single episode)",Mental or Behavioral Dysfunction,C0085633,MOOD SWINGS (Mood swings),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0024517,"major depressive episode (Major depression, single episode)",Mental or Behavioral Dysfunction,C1458156,Recurrence (Recurrent Malignant Neoplasm),Neoplastic Process,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0024517,"major depressive episode (Major depression, single episode)",Mental or Behavioral Dysfunction,C1948053,Period (Period (temporal qualifier)) [Temporal Concept],Temporal Concept,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0012634,Disorder (Disease),Disease or Syndrome,C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0012634,Disorder (Disease),Disease or Syndrome,C0302847,"AFFECTIVE DISORDER, MAJOR (major affective disorder)",Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0012634,Disorder (Disease),Disease or Syndrome,C0424295,HYPERACTIVITY (Hyperactive behavior),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0012634,Disorder (Disease),Disease or Syndrome,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0012634,Disorder (Disease),Disease or Syndrome,C0338831,Manic,Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0012634,Disorder (Disease),Disease or Syndrome,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0012634,Disorder (Disease),Disease or Syndrome,C0004936,Psychotic NOS (Mental disorders),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0012634,Disorder (Disease),Disease or Syndrome,C0687702,remission (Cancer Remission),Neoplastic Process,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0012634,Disorder (Disease),Disease or Syndrome,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0012634,Disorder (Disease),Disease or Syndrome,C0439531,/period (per period (qualifier value)) [Temporal Concept],Temporal Concept,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0012634,Disorder (Disease),Disease or Syndrome,C0085633,MOOD SWINGS (Mood swings),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0012634,Disorder (Disease),Disease or Syndrome,C1458156,Recurrence (Recurrent Malignant Neoplasm),Neoplastic Process,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0012634,Disorder (Disease),Disease or Syndrome,C1948053,Period (Period (temporal qualifier)) [Temporal Concept],Temporal Concept,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0302847,"AFFECTIVE DISORDER, MAJOR (major affective disorder)",Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0424295,HYPERACTIVITY (Hyperactive behavior),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0338831,Manic,Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0004936,Psychotic NOS (Mental disorders),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0687702,remission (Cancer Remission),Neoplastic Process,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0439531,/period (per period (qualifier value)) [Temporal Concept],Temporal Concept,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0085633,MOOD SWINGS (Mood swings),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C1458156,Recurrence (Recurrent Malignant Neoplasm),Neoplastic Process,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C1948053,Period (Period (temporal qualifier)) [Temporal Concept],Temporal Concept,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0302847,"AFFECTIVE DISORDER, MAJOR (major affective disorder)",Mental or Behavioral Dysfunction,C0424295,HYPERACTIVITY (Hyperactive behavior),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0302847,"AFFECTIVE DISORDER, MAJOR (major affective disorder)",Mental or Behavioral Dysfunction,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0302847,"AFFECTIVE DISORDER, MAJOR (major affective disorder)",Mental or Behavioral Dysfunction,C0338831,Manic,Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
